,Uni_name,Course_Name
0,Westcoast University of Applied Sciences,Business Psychology
1,Westcoast University of Applied Sciences,"Business, Media & Psychology"
2,Kiel University of Applied Sciences,Clinical Social Work
3,Kiel University,Education
4,Kiel University,Education
5,Europa-Universität Flensburg,Education: Education in Europe
6,Europa-Universität Flensburg,European Studies
7,Kiel University of Applied Sciences,Guidance and Innovation in Social Work and Childhood Pedagogy
8,Kiel University,In-service Teacher Training in Mathematics
9,Kiel University,International Politics and International Law
10,Europa-Universität Flensburg,Kita Master's course - Management of Infant Educational Institutions
11,Kiel University,Migration and Diversity
12,Kiel University,Political Science
13,Kiel University,Psychology
14,Kiel University,Psychology
15,Lübeck University,Psychology - Clinical Psychology and Psychotherapy
16,Lübeck University,Psychology - Cognitive Systems
17,Kiel University,Psychology with specialisation in Clinical Psychology and Psychotherapy
18,Kiel University,Religion and Ethics
19,Kiel University,School Management and Quality Development
